OBJECTID,PROVINCE,PR_NAME,DISTRICT,_mean,_median,_stdev,_min,_max,_range,_variance
69,7,Sudurpashchim Pradesh,Achham,178.8916827,180.3237,103.0298294,0,359.8828125,359.8828125,10615.14574
47,5,Province No 5,Arghakhanchi,182.0638812,184.2538452,104.2944838,0,359.8348999,359.8348999,10877.33935
36,4,Gandaki Pradesh,Baglung,171.6054169,169.1359406,103.542032,0,359.8746338,359.8746338,10720.95238
70,7,Sudurpashchim Pradesh,Baitadi,184.7325534,191.6336365,107.4813684,0,359.9691162,359.9691162,11552.24456
71,7,Sudurpashchim Pradesh,Bajhang,179.3687791,182.7591095,101.7991921,0,359.9973755,359.9973755,10363.07551
72,7,Sudurpashchim Pradesh,Bajura,174.7424883,170.2933502,101.4711759,0,359.9097595,359.9097595,10296.39954
48,5,Province No 5,Banke,185.3041304,190.0645752,98.12867769,0,359.7407532,359.7407532,9629.237386
15,2,Province No 2,Bara,177.6606677,180,95.49487505,0,359.8247681,359.8247681,9119.271162
49,5,Province No 5,Bardiya,184.8947905,189.246109,97.6708383,0,359.9000244,359.9000244,9539.592654
23,3,Bagmati Pradesh,Bhaktapur,196.9104509,216.8699036,109.1141417,0,359.7561951,359.7561951,11905.89591
1,1,Province No 1,Bhojpur,161.6778127,149.7827301,98.52142175,0,359.8933105,359.8933105,9706.470544
24,3,Bagmati Pradesh,Chitawan,182.7047995,187.1250153,105.0637397,0,359.8395081,359.8395081,11038.3894
73,7,Sudurpashchim Pradesh,Dadeldhura,180.9136811,182.5447998,107.7912276,0,359.9624329,359.9624329,11618.94875
59,6,Karnali Pradesh,Dailekh,189.6368264,198.4349518,104.1031027,0,359.8883057,359.8883057,10837.45599
50,5,Province No 5,Dang,181.1195237,183.1449585,100.772759,0,359.8563843,359.8563843,10155.14895
74,7,Sudurpashchim Pradesh,Darchula,187.9424585,199.9831085,104.5737031,0,359.9973755,359.9973755,10935.65939
25,3,Bagmati Pradesh,Dhading,183.9328603,189.5542908,105.1363116,0,359.9931641,359.9931641,11053.64401
2,1,Province No 1,Dhankuta,187.6334472,199.5366516,106.8200978,0,359.8592224,359.8592224,11410.53328
16,2,Province No 2,Dhanusha,177.3651943,180,93.93766213,0,359.6936035,359.6936035,8824.284367
26,3,Bagmati Pradesh,Dolakha,174.8608293,176.3915405,100.2996494,0,359.9975891,359.9975891,10060.01968
60,6,Karnali Pradesh,Dolpa,177.8124442,180,104.0065059,0,359.9977112,359.9977112,10817.35327
75,7,Sudurpashchim Pradesh,Doti,178.740049,177.3974304,103.5391283,0,359.847229,359.847229,10720.35109
37,4,Gandaki Pradesh,Gorkha,178.3595362,178.8655701,103.5359154,0,359.9977722,359.9977722,10719.68578
51,5,Province No 5,Gulmi,176.8032607,179.5017853,102.5718818,0,359.9046631,359.9046631,10520.99093
61,6,Karnali Pradesh,Humla,179.0164705,181.0877686,102.2627494,0,359.9975891,359.9975891,10457.6699
3,1,Province No 1,Ilam,178.297539,176.6335449,95.01650232,0,359.9854736,359.9854736,9028.135713
62,6,Karnali Pradesh,Jajarkot,177.0271676,175.4978027,98.02341898,0,359.8948669,359.8948669,9608.590668
4,1,Province No 1,Jhapa,174.1459126,180,92.95826416,0,359.8367615,359.8367615,8641.238876
63,6,Karnali Pradesh,Jumla,186.1886345,191.3099365,103.43711,0,359.9074402,359.9074402,10699.23572
76,7,Sudurpashchim Pradesh,Kailali,176.7017884,178.0908508,101.5079254,0,359.8670654,359.8670654,10303.85893
64,6,Karnali Pradesh,Kalikot,181.5879185,182.6942749,101.4333808,0,359.8952637,359.8952637,10288.73075
77,7,Sudurpashchim Pradesh,Kanchanpur,181.6358566,181.9749451,96.52670677,0,359.946991,359.946991,9317.405119
52,5,Province No 5,Kapilbastu,174.2593889,180,96.1223979,0,359.8828125,359.8828125,9239.515378
38,4,Gandaki Pradesh,Kaski,178.7980568,178.2162781,93.08697086,0,359.9163513,359.9163513,8665.184143
28,3,Bagmati Pradesh,Kathmandu,168.8857999,167.3349304,93.25882122,0,359.8309937,359.8309937,8697.207736
27,3,Bagmati Pradesh,Kabhrepalanchok,174.4837435,171.085083,103.5498271,0,359.8842468,359.8842468,10722.56668
5,1,Province No 1,Khotang,191.4360514,194.6567535,98.61731755,0,359.8837891,359.8837891,9725.375322
29,3,Bagmati Pradesh,Lalitpur,188.2717268,196.2059937,103.608946,0,359.85495,359.85495,10734.81368
39,4,Gandaki Pradesh,Lamjung,185.0199705,185.5993347,95.70225191,0,359.8959961,359.8959961,9158.921021
17,2,Province No 2,Mahottari,180.4103047,180,93.19381392,0,359.8057861,359.8057861,8685.086953
30,3,Bagmati Pradesh,Makawanpur,175.2387094,176.1859283,105.1941045,0,359.8729553,359.8729553,11065.79963
40,4,Gandaki Pradesh,Manang,179.8289697,186.1780701,103.2474466,0,359.9977112,359.9977112,10660.03523
6,1,Province No 1,Morang,176.1587767,180,92.84261129,0,359.8279419,359.8279419,8619.750471
65,6,Karnali Pradesh,Mugu,180.7385247,184.2678833,104.116571,0,359.9975586,359.9975586,10840.26036
41,4,Gandaki Pradesh,Mustang,177.1836993,178.7546387,103.8619452,0,359.9974976,359.9974976,10787.30366
42,4,Gandaki Pradesh,Myagdi,176.5926819,176.6335449,101.4715636,0,359.8900146,359.8900146,10296.47822
43,4,Gandaki Pradesh,Nawalparasi_E,173.2057322,171.1796265,99.58412105,0,359.8563843,359.8563843,9916.997165
31,3,Bagmati Pradesh,Nuwakot,183.5804092,184.184906,99.56291532,0,359.8803711,359.8803711,9912.774107
7,1,Province No 1,Okhaldhunga,182.3610346,187.2632446,102.6450443,0,359.8762512,359.8762512,10536.00512
53,5,Province No 5,Palpa,175.6748885,176.3915405,107.5986662,0,359.8818665,359.8818665,11577.47298
8,1,Province No 1,Panchthar,198.9816165,215.0493774,110.1504881,0,359.9655762,359.9655762,12133.13004
54,5,Province No 5,Nawalparasi_W,181.5249158,180,95.98301799,0,359.8632507,359.8632507,9212.739742
44,4,Gandaki Pradesh,Parbat,189.9814827,199.7594604,103.893466,0,359.8626099,359.8626099,10793.85227
18,2,Province No 2,Parsa,181.7451667,180,93.39272338,0,359.8658142,359.8658142,8722.200781
55,5,Province No 5,Pyuthan,176.9633306,177.1216278,102.2910028,0,359.8619385,359.8619385,10463.44926
