OBJECTID,PROVINCE,PR_NAME,DISTRICT,_mean,_median,_stdev,_min,_max,_range,_variance
69,7,Sudurpashchim Pradesh,Achham,1391.046464,1309,556.4514612,325,3815,3490,309638.2287
47,5,Province No 5,Arghakhanchi,1009.217808,989,385.4180202,174,2275,2101,148547.0503
36,4,Gandaki Pradesh,Baglung,2318.352454,2236,800.0233875,573,4659,4086,640037.4205
70,7,Sudurpashchim Pradesh,Baitadi,1574.407924,1601,438.3732235,381,3068,2687,192171.0831
71,7,Sudurpashchim Pradesh,Bajhang,3363.867381,3259,1294.631113,812,6995,6183,1676069.72
72,7,Sudurpashchim Pradesh,Bajura,2935.111066,2823,1024.140635,705,6740,6035,1048864.04
48,5,Province No 5,Banke,257.9295566,189,173.16581,125,1239,1114,29986.39777
15,2,Province No 2,Bara,177.5616675,118,136.8048936,72,922,850,18715.57891
49,5,Province No 5,Bardiya,284.5658105,178,223.1720826,132,1586,1454,49805.77845
23,3,Bagmati Pradesh,Bhaktapur,1460.013666,1377,174.0120993,1294,2157,863,30280.21071
1,1,Province No 1,Bhojpur,1351.522223,1293,658.8870584,118,4003,3885,434132.1557
24,3,Bagmati Pradesh,Chitawan,388.2101207,261,307.4412159,92,1941,1849,94520.10125
73,7,Sudurpashchim Pradesh,Dadeldhura,1284.222233,1262,512.3911965,263,2672,2409,262544.7383
59,6,Karnali Pradesh,Dailekh,1543.677057,1426,568.1360324,554,4082,3528,322778.5513
50,5,Province No 5,Dang,621.186554,592,314.4800893,182,2071,1889,98897.72656
74,7,Sudurpashchim Pradesh,Darchula,3402.12516,3474,1411.675027,528,7104,6576,1992826.381
25,3,Bagmati Pradesh,Dhading,1623.975058,1161,1177.681216,278,6984,6706,1386933.046
2,1,Province No 1,Dhankuta,1076.066995,1036,482.4193119,116,2704,2588,232728.3925
16,2,Province No 2,Dhanusha,145.5694785,100,95.58039661,58,726,668,9135.612215
26,3,Bagmati Pradesh,Dolakha,3030.013223,2690,1349.68965,588,6906,6318,1821662.152
60,6,Karnali Pradesh,Dolpa,4636.138589,4798,819.0607565,1492,7753,6261,670860.5229
75,7,Sudurpashchim Pradesh,Doti,1501.933553,1443,578.1097781,296,3285,2989,334210.9156
37,4,Gandaki Pradesh,Gorkha,3059.824194,3188,1753.421263,232,7955,7723,3074486.124
51,5,Province No 5,Gulmi,1308.965282,1278,383.0274749,456,2690,2234,146710.0465
61,6,Karnali Pradesh,Humla,4406.139255,4672,956.0771104,1162,7008,5846,914083.4411
3,1,Province No 1,Ilam,1099.975267,1071,682.7870342,118,3599,3481,466198.1341
62,6,Karnali Pradesh,Jajarkot,2294.81727,2171,917.1348744,605,5437,4832,841136.3779
4,1,Province No 1,Jhapa,120.8391536,104,61.61725345,37,831,794,3796.685922
63,6,Karnali Pradesh,Jumla,3538.736039,3441,711.8563644,2010,6543,4533,506739.4836
76,7,Sudurpashchim Pradesh,Kailali,455.0226547,211,401.1046588,135,1967,1832,160884.9473
64,6,Karnali Pradesh,Kalikot,2666.381116,2770,756.4575409,724,4470,3746,572228.0112
77,7,Sudurpashchim Pradesh,Kanchanpur,267.4859343,206,186.5179678,143,1522,1379,34788.9523
52,5,Province No 5,Kapilbastu,164.9807875,117,139.1106176,87,1274,1187,19351.76393
38,4,Gandaki Pradesh,Kaski,2600.20287,2132,1679.190946,385,7943,7558,2819682.233
28,3,Bagmati Pradesh,Kathmandu,1552.086735,1420,293.762248,833,2724,1891,86296.25834
27,3,Bagmati Pradesh,Kabhrepalanchok,1374.990875,1361,469.3367886,280,2941,2661,220277.0212
5,1,Province No 1,Khotang,1390.004439,1297,642.0098475,161,3632,3471,412176.6443
29,3,Bagmati Pradesh,Lalitpur,1556.128505,1521,408.4199124,419,2826,2407,166806.8249
39,4,Gandaki Pradesh,Lamjung,2275.440223,1927,1369.821996,375,7826,7451,1876412.3
17,2,Province No 2,Mahottari,167.5360714,104,136.8366919,59,816,757,18724.28026
30,3,Bagmati Pradesh,Makawanpur,893.233948,667,560.8381765,141,2600,2459,314539.4603
40,4,Gandaki Pradesh,Manang,4843.067289,4934,937.2438311,1460,7968,6508,878425.9989
6,1,Province No 1,Morang,267.6206365,107,368.0133825,54,2383,2329,135433.8497
65,6,Karnali Pradesh,Mugu,3882.365199,3999,1086.315564,1096,6875,5779,1180081.505
41,4,Gandaki Pradesh,Mustang,4679.941303,4733,914.9062704,1719,6996,5277,837053.4835
42,4,Gandaki Pradesh,Myagdi,3460.169257,3166,1484.659728,774,8188,7414,2204214.508
43,4,Gandaki Pradesh,Nawalparasi_E,459.6371253,338,336.557325,81,1929,1848,113270.833
31,3,Bagmati Pradesh,Nuwakot,1503.590141,1338,784.8754259,414,5088,4674,616029.4341
7,1,Province No 1,Okhaldhunga,1593.031817,1487,674.4300103,328,3436,3108,454855.8389
53,5,Province No 5,Palpa,982.4025923,989,313.5057923,194,1939,1745,98285.88182
8,1,Province No 1,Panchthar,1705.431321,1605,717.0317525,335,4625,4290,514134.5341
54,5,Province No 5,Nawalparasi_W,197.6758484,117,183.2014679,93,1170,1077,33562.77786
44,4,Gandaki Pradesh,Parbat,1488.789749,1394,538.2669775,522,3301,2779,289731.3391
18,2,Province No 2,Parsa,231.6870831,185,152.6124544,56,852,796,23290.56123
55,5,Province No 5,Pyuthan,1314.880802,1253,538.289978,319,3621,3302,289756.1004
32,3,Bagmati Pradesh,Ramechhap,2086.805894,1722,1259.774357,402,6854,6452,1587031.431
33,3,Bagmati Pradesh,Rasuwa,3734.942447,3743,1345.716519,610,7186,6576,1810952.951
19,2,Province No 2,Rautahat,129.0166653,97,96.77548832,70,930,860,9365.49514
56,5,Province No 5,Rolpa,1862.540938,1795,537.8785663,653,3659,3006,289313.352
57,5,Province No 5,Rukum_E,3168.769709,3068,989.0671193,950,7127,6177,978253.7666
66,6,Karnali Pradesh,Rukum_W,2186.007757,1997,948.2058528,677,5910,5233,899094.3392
58,5,Province No 5,Rupandehi,156.0405405,113,129.7670049,84,1163,1079,16839.47556
67,6,Karnali Pradesh,Salyan,1255.719977,1285,419.3034852,327,2816,2489,175815.4127
9,1,Province No 1,Sankhuwasabha,2850.591874,2627,1506.171683,250,8284,8034,2268553.137
20,2,Province No 2,Saptari,110.7092714,92,50.32907677,58,457,399,2533.015969
21,2,Province No 2,Sarlahi,155.6656765,109,112.3936978,70,701,631,12632.34331
34,3,Bagmati Pradesh,Sindhuli,751.6019682,650,432.4607446,134,2371,2237,187022.2956
35,3,Bagmati Pradesh,Sindhupalchok,2562.082551,2241,1274.859083,627,6836,6209,1625265.682
22,2,Province No 2,Siraha,140.1062434,108,84.55298245,68,756,688,7149.206841
10,1,Province No 1,Solukhumbu,3993.321219,4201,1445.246589,558,8768,8210,2088737.703
11,1,Province No 1,Sunsari,166.9794491,93,210.6647219,59,1796,1737,44379.62505
68,6,Karnali Pradesh,Surkhet,903.8084603,792,436.1650903,196,2730,2534,190239.986
45,4,Gandaki Pradesh,Syangja,1006.779539,984,332.6481013,304,2261,1957,110654.7593
46,4,Gandaki Pradesh,Tanahu,681.7497552,647,247.6612039,170,2130,1960,61336.07189
12,1,Province No 1,Taplejung,3706.421944,3780,1538.276397,487,8590,8103,2366294.275
13,1,Province No 1,Terhathum,1433.389912,1394,568.7632365,321,3022,2701,323491.6192
14,1,Province No 1,Udayapur,568.923962,427,440.8351496,87,2345,2258,194335.6291
