OBJECTID,PROVINCE,PR_NAME,DISTRICT,_mean,_median,_stdev,_min,_max,_range,_variance
69,7,Sudurpashchim Pradesh,Achham,29.01823282,28.67195702,12.29350443,0.349381328,75.95006561,75.60068429,151.1302512
47,5,Province No 5,Arghakhanchi,25.53419543,25.12940407,11.97867947,0.349381328,73.73938751,73.39000618,143.4887619
36,4,Gandaki Pradesh,Baglung,31.75762333,32.0451088,12.7596702,0.349381328,81.3054657,80.95608437,162.8091836
70,7,Sudurpashchim Pradesh,Baitadi,30.59662405,30.54523659,12.41977813,0.349381328,85.97785187,85.62847054,154.2508888
71,7,Sudurpashchim Pradesh,Bajhang,34.04078164,34.40171814,13.74322573,0.349381328,89.5526123,89.20323098,188.8762534
72,7,Sudurpashchim Pradesh,Bajura,32.98360992,33.25052643,12.98932737,0.349381328,78.23261261,77.88323128,168.7226256
48,5,Province No 5,Banke,7.702380905,3.002835035,9.923114873,0.349381328,77.47730255,77.12792122,98.46820878
15,2,Province No 2,Bara,4.735175595,1.562138557,7.845775677,0.349381328,70.11369324,69.76431191,61.55619598
49,5,Province No 5,Bardiya,8.356576927,2.962054729,10.84673766,0.349381328,72.55815125,72.20876992,117.6517179
23,3,Bagmati Pradesh,Bhaktapur,12.04399742,9.113319397,10.23668821,0.349381328,57.93034363,57.5809623,104.7897854
1,1,Province No 1,Bhojpur,25.86612463,25.10586357,11.6346594,0.349381328,76.05326843,75.7038871,135.3652994
24,3,Bagmati Pradesh,Chitawan,12.42787274,7.370617867,13.29073338,0.349381328,86.53393555,86.18455422,176.6435938
73,7,Sudurpashchim Pradesh,Dadeldhura,25.65035878,25.29291344,12.28053142,0.349381328,84.61371613,84.2643348,150.8114519
59,6,Karnali Pradesh,Dailekh,28.76899038,28.22035408,12.0305354,0.349381328,77.44462585,77.09524453,144.7337819
50,5,Province No 5,Dang,15.27670918,12.7679739,13.06070287,0.349381328,80.83198547,80.48260415,170.5819595
74,7,Sudurpashchim Pradesh,Darchula,35.43742099,35.98538971,14.20811457,0.349381328,89.54334259,89.19396126,201.8705197
25,3,Bagmati Pradesh,Dhading,28.58043585,27.90336609,13.0406697,0.349381328,89.56598663,89.21660531,170.0590661
2,1,Province No 1,Dhankuta,24.91946424,24.18919373,11.18572648,0.349381328,73.44996643,73.1005851,125.1204769
16,2,Province No 2,Dhanusha,4.188515434,1.259548783,6.415635729,0.349381328,56.33502579,55.98564446,41.16038181
26,3,Bagmati Pradesh,Dolakha,30.82816914,29.86816978,14.18920191,0.349381328,89.55945587,89.21007454,201.3334508
60,6,Karnali Pradesh,Dolpa,31.04047767,30.9846096,14.00020665,0.349381328,89.53190613,89.1825248,196.0057862
75,7,Sudurpashchim Pradesh,Doti,28.26479777,28.12114525,12.00770853,0.349381328,76.47238922,76.12300789,144.1850641
37,4,Gandaki Pradesh,Gorkha,32.22887284,31.70868111,15.33303913,0.349381328,89.57238007,89.22299874,235.102089
51,5,Province No 5,Gulmi,29.39529139,29.34085464,12.51030967,0.349381328,74.51290894,74.16352761,156.5078481
61,6,Karnali Pradesh,Humla,30.40858127,30.73624039,15.19980528,0.349381328,89.54970551,89.20032418,231.0340806
3,1,Province No 1,Ilam,22.67260304,22.10651207,11.65000103,0.349381328,89.1709671,88.82158577,135.722524
62,6,Karnali Pradesh,Jajarkot,32.25088261,32.2483902,12.61701753,0.349381328,80.39208221,80.04270089,159.1891314
4,1,Province No 1,Jhapa,2.483158763,1.259501219,4.804309922,0.349381328,78.58337402,78.2339927,23.08139383
63,6,Karnali Pradesh,Jumla,29.6565396,29.65052986,12.63497353,0.349381328,79.68701935,79.33763802,159.6425562
76,7,Sudurpashchim Pradesh,Kailali,12.16297262,4.989746571,13.73542223,0.349381328,73.96186829,73.61248696,188.6618238
64,6,Karnali Pradesh,Kalikot,32.50041018,32.56551361,12.18562286,0.349381328,77.46746063,77.1180793,148.4894046
77,7,Sudurpashchim Pradesh,Kanchanpur,5.909349543,2.235979319,9.143451099,0.349381328,81.10652924,80.75714791,83.60269801
52,5,Province No 5,Kapilbastu,4.788485093,1.440236688,8.353596019,0.349381328,76.71326447,76.36388314,69.78256645
38,4,Gandaki Pradesh,Kaski,28.97908109,28.49090958,15.32594536,0.349381328,84.80477905,84.45539773,234.8846011
28,3,Bagmati Pradesh,Kathmandu,15.81938648,13.34802628,12.29881753,0.349381328,67.24272156,66.89334023,151.2609127
27,3,Bagmati Pradesh,Kabhrepalanchok,27.26076047,27.20371056,12.72056121,0.349381328,74.02593231,73.67655098,161.8126774
5,1,Province No 1,Khotang,27.57130609,27.04715919,11.51679381,0.349381328,73.57874298,73.22936165,132.6365397
29,3,Bagmati Pradesh,Lalitpur,26.27938051,27.42500114,15.20115742,0.349381328,71.41034698,71.06096566,231.0751869
39,4,Gandaki Pradesh,Lamjung,30.06078546,29.69287491,13.35908545,0.349381328,85.73690796,85.38752663,178.465164
17,2,Province No 2,Mahottari,3.816077732,1.259548783,6.652283497,0.349381328,63.33878708,62.98940575,44.25287573
30,3,Bagmati Pradesh,Makawanpur,22.31123396,21.42571259,14.00477272,0.349381328,77.6092453,77.25986397,196.1336589
40,4,Gandaki Pradesh,Manang,32.11629641,31.87264824,15.54756712,0.349381328,89.56936646,89.21998513,241.7268434
6,1,Province No 1,Morang,7.0378356,1.562138557,11.55254446,0.349381328,69.5524292,69.20304787,133.4612835
65,6,Karnali Pradesh,Mugu,34.34666023,34.95421982,14.07677587,0.349381328,89.56685638,89.21747506,198.1556189
41,4,Gandaki Pradesh,Mustang,26.29365035,25.44629097,14.43730521,0.349381328,89.52754974,89.17816842,208.4357816
42,4,Gandaki Pradesh,Myagdi,34.24745407,34.00501251,14.42945254,0.349381328,83.42953491,83.08015358,208.2091005
43,4,Gandaki Pradesh,Nawalparasi_E,17.11682707,14.75353718,14.23155277,0.349381328,75.52966309,75.18028176,202.5370942
31,3,Bagmati Pradesh,Nuwakot,26.5841138,26.26324272,12.2514816,0.349381328,74.41407013,74.0646888,150.0988013
7,1,Province No 1,Okhaldhunga,29.50967344,29.18434715,12.19947687,0.349381328,74.77354431,74.42416298,148.8272358
53,5,Province No 5,Palpa,26.97893616,27.14373016,12.74150584,0.349381328,74.48053741,74.13115609,162.345971
8,1,Province No 1,Panchthar,27.73184429,27.32205963,11.08476676,0.349381328,89.35072327,89.00134194,122.8720542
54,5,Province No 5,Nawalparasi_W,6.60226087,1.397265553,10.76163804,0.349381328,65.52456665,65.17518532,115.8128533
44,4,Gandaki Pradesh,Parbat,26.94164108,26.12642097,12.689811,0.349381328,77.9240036,77.57462227,161.0313031
18,2,Province No 2,Parsa,5.887068168,2.72667408,7.698709359,0.349381328,85.05039978,84.70101845,59.27012579
55,5,Province No 5,Pyuthan,29.55877534,30.11829567,12.97244458,0.349381328,77.29964447,76.95026314,168.2843185
32,3,Bagmati Pradesh,Ramechhap,28.78396801,28.17108345,12.43026141,0.349381328,77.82465363,77.4752723,154.5113987
33,3,Bagmati Pradesh,Rasuwa,33.72283247,33.57575226,14.77959611,0.349381328,89.57656097,89.22717965,218.4364612
19,2,Province No 2,Rautahat,3.558921964,1.104731083,7.108742293,0.349381328,66.25136566,65.90198433,50.53421699
56,5,Province No 5,Rolpa,31.15533563,31.30907059,12.0082361,0.349381328,76.96205902,76.61267769,144.1977343
57,5,Province No 5,Rukum_E,34.04649324,34.56187057,13.03049744,0.349381328,78.4715271,78.12214577,169.7938636
66,6,Karnali Pradesh,Rukum_W,34.94135159,35.60499573,13.42090588,0.349381328,83.66734314,83.31796181,180.1207146
58,5,Province No 5,Rupandehi,4.470264743,1.259501219,8.547830121,0.349381328,65.37673187,65.02735054,73.06539978
67,6,Karnali Pradesh,Salyan,26.23980758,25.93537521,12.00691212,0.349381328,73.60060883,73.2512275,144.1659386
9,1,Province No 1,Sankhuwasabha,31.17990899,30.63655472,13.93916537,0.349381328,89.64058685,89.29120553,194.3003311
20,2,Province No 2,Saptari,3.474675726,1.104731083,6.35021626,0.349381328,60.58225632,60.23287499,40.32524655
21,2,Province No 2,Sarlahi,4.283696781,1.259501219,7.875897564,0.349381328,67.77031708,67.42093575,62.02976244
34,3,Bagmati Pradesh,Sindhuli,22.60129474,22.0955143,13.46043458,0.349381328,70.53266144,70.18328011,181.183299
35,3,Bagmati Pradesh,Sindhupalchok,30.3389568,29.64770317,13.15083681,0.349381328,89.55753326,89.20815194,172.9445088
22,2,Province No 2,Siraha,4.121656511,1.104731083,7.43627311,0.349381328,62.21909332,61.869712,55.29815776
10,1,Province No 1,Solukhumbu,30.72066655,30.06369781,15.12705514,0.349381328,89.66062927,89.31124794,228.8277973
11,1,Province No 1,Sunsari,4.339641659,1.259501219,8.599745117,0.349381328,71.44290924,71.09352791,73.95561607
68,6,Karnali Pradesh,Surkhet,22.87847438,22.24744034,13.67770385,0.349381328,73.39009094,73.04070961,187.0795825
45,4,Gandaki Pradesh,Syangja,25.99979502,25.79211807,12.61987677,0.349381328,73.70523834,73.35585701,159.2612896
46,4,Gandaki Pradesh,Tanahu,24.45580437,23.94774246,13.29763466,0.349381328,76.27535248,75.92597115,176.8270875
12,1,Province No 1,Taplejung,31.5040821,31.30605888,14.24007474,0.349381328,89.6410141,89.29163277,202.7797287
13,1,Province No 1,Terhathum,23.80113071,22.89659119,10.16079689,0.349381328,67.54475403,67.1953727,103.2417935
14,1,Province No 1,Udayapur,19.43843416,17.99398422,14.00332079,0.349381328,71.17399597,70.82461464,196.0929932
