2024-03-17 15:06:09 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b63eb60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 15:06:09 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b63fc70>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 15:06:09 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b63feb0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 15:06:09 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b6d43d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 15:06:09 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b6d4460>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 15:06:09 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10b6d4580>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:06:21 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108a83fa0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:06:21 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108a82bc0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:06:21 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108a82c50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:06:21 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108b0c280>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:06:21 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108b0c310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:06:21 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108b0c430>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:08:38 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1119aee00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:08:38 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1119afb20>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:08:38 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1119afd60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:08:38 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a38280>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:08:38 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a38310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:08:38 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111a38430>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-03-17 18:11:53 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x111f83a30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
